cmdCode,cmdDesc,cmdDesc_long,pre_eur,during_eur,post_eur,abs_change_during_vs_pre,pct_change_during_vs_pre,abs_change_post_vs_pre,pct_change_post_vs_pre
85,Electrical & electronics,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",11362039400.632708,11850215198.865448,16485697805.287565,488175798.2327404,0.04296550830527447,5123658404.654858,0.4509453121918888
27,Mineral fuels,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",8204684094.683021,7344273585.839269,11554630284.786125,-860410508.8437519,-0.10486820685775507,3349946190.1031046,0.4082967913748209
84,Machinery,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",11903677285.572075,11752315668.43582,13758693718.605251,-151361617.13625526,-0.012715534326498757,1855016433.0331764,0.15583557824451108
39,Plastics,Plastics and articles thereof,3391001533.573335,3479104157.156559,4028540008.6073065,88102623.58322382,0.02598129865496815,637538475.0339713,0.18800890200782436
72,Iron & steel,Iron and steel,2186335219.813952,2043849566.782335,2525806227.7071915,-142485653.03161693,-0.06517100019261542,339471007.8932395,0.1552694229213977
